id,name,phone,address,city,state,country,lat,lng,rating,reviews,type,subtypes,website,status,price_level,working_hours,google_maps,reviews_link,photo,about
0x3f8dfd6271df0085:0x7d8e214052e7cada,فروش قطعات یدکی ایران خودرو,+989127158629,"Tehran Province, Tehran, District 21, Mostafa Khomeyni St, P76C+849 فروش قطعات یدکی ایران خودرو, ایران",تهران,استان تهران,IR,35.7107946,51.2703595,4.3,,فروشگاه لوازم جانبی خودرو,فروشگاه لوازم جانبی خودرو,,OPEN,,{},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dfd6271df0085:0x7d8e214052e7cada,https://search.google.com/local/reviews?placeid=ChIJhQDfcWL9jT8R2srnUkAhjn0&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkbIzyzRl_Xc-6JCkai1MRUjJXfa_zGpFx8V7PDfq7UhJfIhE4OQANUZAUEZeGGj8Verv5Lq29lwoE4-_O9qbXxlWRaJMdrjFfitRMNmo3v8gxvNhRM5vMeEfV1TSMiBrmj_LN2g,
0x3f8e1d42149b3139:0x6cbeb45e4349f01b,نمایندگی لوازم یدکی ایران خودرو,+982177148708,استان تهران، تهرانپارس شرقی، منطقه ۴، تهران،، نمایندگی لوازم یدکی ایران خودرو، ایران,تهران,استان تهران,IR,35.7460494,51.5448363,,0,بازار لوازم یدکی,بازار لوازم یدکی,https://totam.co,OPEN,,{},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e1d42149b3139:0x6cbeb45e4349f01b,https://search.google.com/local/reviews?placeid=ChIJOTGbFEIdjj8RG_BJQ160vmw&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0jxIP7gvxfploa9vaWcW-X_f9qGsPLMFXE127PnLwhgBkOkX8KnryoiVjgEPwtmvnuNxgr7WlvlhapEcRxNe5UiCMJtZgrSNQENfYqUMgnvX5C4-Im3ELKQ_447S6mnn1K8-5,
0x3f8e07372afa8e71:0x68d7738b35d3c151,عاملیت مجاز فروش قطعات یدکی سایپا,+982188278351,"Tehran Province, Tehran, District 2, جلال آل احمد, پلاک ۱۵۷, No. جنب، عاملیت مجاز فروش قطعات یدکی سایپا، آتش نشانی, ایران",تهران,استان تهران,IR,35.727525199999995,51.3730906,4.1,,مغازه,مغازه,,OPEN,,{'شنبه': ['۷:۳۰ تا ۲۱']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e07372afa8e71:0x68d7738b35d3c151,https://search.google.com/local/reviews?placeid=ChIJcY76KjcHjj8RUcHTNYtz12g&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZiOu-2p3-UQr3-OMN0am63GQDLDJFbXQHFECeEGFgbSId-ctnBBXrkqc0y3b_aQim1pxKiWEa0s2xnoZE-crvEu2L_fH9NO9XHHYiOwKCdmadmmzy7TErti7cLsvzp-FzFntU-6cmvDU,
0x3f8e0302e6853a7f:0x8ba7fcd0562c070c,نمایندگی قطعات سایپا(کد ۸۸۴،هاشمی),+982122520457,"Tehran, N Ostad Hasan Banna Ave, PFXC+JJR نمایندگی قطعات سایپا(کد ۸۸۴،هاشمی), ایران",تهران,,IR,35.749121699999996,51.471501499999995,3,,تعمیرگاه خودرو,تعمیرگاه خودرو,,OPEN,,{'شنبه': ['شبانه\u200cروزی باز است']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e0302e6853a7f:0x8ba7fcd0562c070c,https://search.google.com/local/reviews?placeid=ChIJfzqF5gIDjj8RDAcsVtD8p4s&authuser=0,,
0x3f8de2aaf0042609:0x6df56cec1749c9d3,لوازم یدکی سایپا,+982122362800,"لوازم یدکی سایپا, Q8PW+C2G, Tehran, Tehran Province, ایران",تهران,استان تهران,IR,35.786060899999995,51.3450729,3.9,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۸ تا ۲۱']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8de2aaf0042609:0x6df56cec1749c9d3,https://search.google.com/local/reviews?placeid=ChIJCSYE8KrijT8R08lJF-xs9W0&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerdJh-0SPIkSD_dxpUiIKzGfbTVJmAP0hZTlVrt0_AupHV6BFb6BwyAUg3Qz7pN-R1-NgRPQoyxLTpM9oovIlkewG5SGYX8eM4p0gcbLu2-im4apMnnfSY6bAhe0Fby6JMa6gaSGw,
0x3f91fc937bfd75d3:0x38ffa05f971a3dd,نمایندگی سایپا پخش قطعات یدکی سلطانی کد۹۶۳۸,+982133873432,استان تهران، منطقه ۱۵، تهران،، نمایندگی سایپا پخش قطعات یدکی سلطانی کد۹۶۳۸، ایران,تهران,استان تهران,IR,35.631445,51.4883592,3.4,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,http://www.saipayadak.org,OPEN,,{'شنبه': ['۸ تا ۲۰']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f91fc937bfd75d3:0x38ffa05f971a3dd,https://search.google.com/local/reviews?placeid=ChIJ03X9e5P8kT8R3aNx-QX6jwM&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqXLLCM5hHntfVtmo563j2sNxCxa814ZU5BbhoqP3hWCRMLkAxvj1zbDiRAX0No-BDCxdmdCfVc4OvOHskc3QrfhHZ4qZGqI6Ca5fhoRU_xfb0xfQo7IP3F3HMUGou_jHfXoVc,
0x3f8e009799aa13a3:0x51cd5dfc2150fc1,سایپا,+982166086544,استان تهران، تهران، خیابان طوس، M9V5+QFJ سایپا، ایران,تهران,استان تهران,IR,35.694451199999996,51.3586484,3.9,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['۸ تا ۱۹:۴۵']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8e009799aa13a3:0x51cd5dfc2150fc1,https://search.google.com/local/reviews?placeid=ChIJoxOqmZcAjj8RwQ8Vwt_VHAU&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZ19TXHVJC0iM3fhHrSQTaT2H2hYHmYaITlc1FOf2jG6kdxsP-RwrHgYHn0Y3JFTkVkR4j78Kiq4LIzArx19jGWW5v-id6ZA-EaOrPpHhtjDKnztCl8SbA0dEGm-TicR5KQx4jew,
0x3f8dff2a3ee280e3:0xcc4184931652ffcf,فروشگاه لوازم یدکی ایران خودرو و سایپا شاهین,+982166230353,"Tehran Province Tehran Heydari Alley, ولیعصر، فروشگاه لوازم یدکی ایران خودرو و سایپا شاهین، ایران",تهران,,IR,35.6436263,51.340095399999996,2.6,,فروشگاه لوازم یدکی,فروشگاه لوازم یدکی,,OPEN,,{'شنبه': ['شبانه\u200cروزی باز است']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dff2a3ee280e3:0xcc4184931652ffcf,https://search.google.com/local/reviews?placeid=ChIJ44DiPir_jT8Rz_9SFpOEQcw&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepmhP3Ak6jxgxXqMjRQ_wkLb4sGVPZCrrYOQJyZ53MwNnEGnPP5ItBRXIf6Wi885MeiuNjBPF8DOmrXpyzVQweqsLG0nUNkw-5gmbVyvF9JJiUdriktqYCnQk6FNaIems1jNJ9A,
0x3f8d951a1cea72d1:0x905b8cfe68202682,نمایندگی قطعات سایپا,,"نمایندگی قطعات سایپا, Q2H4+265 Sarhadabad, Karaj, Alborz Province, ایران",کرج,استان البرز,IR,35.7775047,51.005607399999995,1,,بازار لوازم یدکی,بازار لوازم یدکی,,OPEN,,{'شنبه': ['۸ تا ۲۱']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8d951a1cea72d1:0x905b8cfe68202682,https://search.google.com/local/reviews?placeid=ChIJ0XLqHBqVjT8RgiYgaP6MW5A&authuser=0,,
0x3f8dfd2640fc6f1d:0x8a37c44e2baf8340,سایپا یدک گلزارپور,+982144520666,سایپا یدک گلزارپور، M7W8+R5P، تهران، استان تهران، ایران,تهران,استان تهران,IR,35.6970965,51.2654536,3.5,,فروشگاه لوازم جانبی خودرو,فروشگاه لوازم جانبی خودرو,,OPEN,,{'شنبه': ['۸ تا ۲۰']},https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3f8dfd2640fc6f1d:0x8a37c44e2baf8340,https://search.google.com/local/reviews?placeid=ChIJHW_8QCb9jT8RQIOvK07EN4o&authuser=0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSCqlTK0xf_8TXrgErT7gkikxFlTDPurB7AHvUc4fxpwTFxpe1c7mAlQTdvPfNzRuznZ_HXQX2vNl6VJYT_5-tGmMs2qYsYQxT0GXnIvrNwIi5dQpJ1JEDspVmtMbKVFv3-sH4Hw,
